	"gene_id"	"sample97_t3"	"sample98_t4"	"sample99_t5"	"sample100_t6"	"sample101_t8"	"sample102_t24"	"sample103_t48"	"sample104_t168"	"sample105_t336"	"sample16_t3"	"sample17_t4"	"sample18_t5"	"sample19_t6"	"sample20_t8"	"sample21_t24"	"sample22_t48"	"sample23_t168"	"sample24_t336"	"sample25_t3"	"sample26_t4"	"sample27_t5"	"sample28_t6"	"sample29_t8"	"sample30_t24"	"sample31_t48"	"sample32_t168"	"sample33_t336"
"190"	"ECB_00190"	28	60	14	7	0	0	0	2	13	4	7	2	5	0	0	1	3	11	4	14	11	17	4	0	0	8	11
"191"	"ECB_00191"	161	175	91	58	8	0	0	21	38	30	43	11	32	7	2	0	20	14	42	54	62	44	45	8	0	28	41
"192"	"ECB_00192"	17	32	5	6	1	0	0	7	15	0	1	1	3	1	0	0	0	9	4	0	5	3	3	2	0	30	9
"193"	"ECB_00193"	1344	1414	566	603	19	36	28	704	418	313	441	178	369	31	104	24	77	159	571	861	828	927	506	187	25	806	392
"194"	"ECB_00194"	134	224	39	34	0	0	1	11	18	7	26	5	16	2	1	0	0	7	25	54	53	40	23	3	0	15	2
"195"	"ECB_00195"	318	275	76	47	1	1	0	19	28	43	54	1	44	14	0	1	1	8	90	162	132	88	65	3	0	13	23
"196"	"ECB_00196"	3448	2147	1380	1549	72	0	1	27	94	996	787	428	892	167	9	2	17	34	1264	1061	1349	1458	1187	18	1	53	50
"197"	"ECB_00197"	205	161	112	126	18	0	0	14	26	44	49	19	66	22	0	1	4	9	91	70	99	86	67	2	0	14	15
"198"	"ECB_00198"	54	97	30	20	20	0	0	9	41	15	22	9	20	29	0	1	1	5	30	23	32	27	50	0	0	9	15
"199"	"ECB_00199"	180	360	180	112	14	0	0	7	67	26	49	48	59	9	0	5	8	20	55	119	104	61	60	1	3	45	22
"200"	"ECB_00200"	67	94	23	14	2	1	0	17	17	8	11	2	16	5	4	4	17	27	20	18	23	31	19	7	2	43	27
"201"	"ECB_00201"	128	108	102	18	10	0	1	50	98	23	34	2	10	18	4	1	13	28	23	24	14	13	19	7	5	94	79
"202"	"ECB_00202"	433	711	374	189	20	6	3	218	610	88	84	5	63	41	17	11	69	169	123	171	162	101	87	44	7	402	558
"203"	"ECB_00203"	138	272	57	43	4	0	2	76	123	5	32	7	16	9	3	3	4	56	24	43	50	22	23	19	4	91	73
"204"	"ECB_00204"	545	1026	353	79	2	0	0	36	511	62	125	31	65	5	2	0	29	141	159	259	226	84	60	3	2	37	164
"205"	"ECB_00205"	111	67	36	38	1	0	0	8	23	14	16	2	9	11	0	0	0	9	48	66	33	58	48	0	0	14	24
"206"	"ECB_00206"	157	202	147	71	5	0	1	27	49	22	50	5	26	20	1	1	4	22	57	56	57	51	53	2	2	23	28
"207"	"ECB_00207"	122	282	93	58	3	0	0	3	24	12	27	11	23	7	0	0	2	2	29	68	58	40	24	2	0	6	13
"208"	"ECB_00208"	111	218	69	37	4	0	1	31	66	20	21	5	18	4	1	1	7	21	47	106	63	52	39	3	7	90	66
"209"	"ECB_00209"	3	14	1	2	0	0	0	4	7	0	0	0	0	1	0	0	0	2	1	0	2	1	1	0	1	4	4
"210"	"ECB_00210"	4	6	6	3	0	0	0	5	4	1	1	1	2	0	0	1	0	2	1	2	3	0	3	0	0	2	2
"211"	"ECB_00211"	30	32	26	24	0	0	0	6	13	3	9	3	10	3	0	0	3	3	22	18	24	24	31	0	1	9	9
"212"	"ECB_00212"	2	2	2	1	0	0	0	6	17	0	0	0	0	1	0	0	5	2	0	2	0	2	1	1	0	50	3
"213"	"ECB_00213"	3	8	1	0	0	0	0	57	54	0	2	0	2	0	1	0	1	4	2	0	2	2	2	0	2	39	7
"214"	"ECB_00214"	256	289	192	89	12	4	1	41	87	46	78	10	83	25	12	3	14	34	74	95	109	61	65	16	4	57	48
"215"	"ECB_00215"	75	90	65	30	8	0	0	26	34	41	27	12	20	16	2	1	10	16	30	39	36	29	52	7	0	61	30
"216"	"ECB_00216"	241	1044	3940	1596	309	282	175	7166	8162	598	316	33	144	660	453	221	3732	5405	537	411	373	244	871	935	358	18671	12486
"217"	"ECB_00217"	639	549	331	142	33	2	0	103	158	153	130	17	83	65	7	8	18	54	107	166	165	124	135	8	2	83	55
"218"	"ECB_00218"	258	232	106	58	4	0	1	20	24	42	66	12	38	16	0	1	3	6	57	76	67	55	63	3	5	35	16
"219"	"ECB_00219"	158	492	49	45	1	1	1	90	99	24	26	3	9	3	0	0	14	73	25	54	48	40	20	0	0	189	108
"220"	"ECB_00220"	101	168	49	51	28	8	7	568	468	9	19	2	16	41	11	9	231	280	15	36	44	22	33	42	11	1644	705
"221"	"ECB_00221"	58	81	53	45	29	0	4	218	151	21	29	4	15	43	3	3	66	91	42	37	40	31	57	10	1	427	181
"222"	"ECB_00222"	3	7	6	2	0	0	0	0	5	0	0	0	1	1	0	0	1	1	0	3	1	2	2	0	0	1	0
"223"	"ECB_00223"	0	3	1	2	1	0	0	6	0	1	0	1	1	1	0	1	0	1	0	2	1	1	5	1	0	5	3
"224"	"ECB_00224"	5	17	7	6	0	0	0	9	7	2	1	1	3	1	0	3	2	7	1	4	7	5	5	2	0	17	15
"225"	"ECB_00225"	1	4	0	3	0	0	0	1	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	4	2
"226"	"ECB_00226"	46	97	68	41	5	1	1	50	103	5	21	7	19	3	2	1	19	44	18	30	36	18	41	0	2	72	51
"227"	"ECB_00227"	8	23	11	13	1	0	1	7	20	2	6	0	3	6	0	1	0	7	2	7	3	3	4	0	0	6	9
"228"	"ECB_00228"	2	1	1	2	0	0	0	3	7	0	0	0	0	0	0	0	0	0	0	1	2	3	1	0	0	0	1
"229"	"ECB_00229"	2	2	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0
"230"	"ECB_00230"	1	3	0	1	0	0	0	2	6	0	1	0	1	0	0	0	0	0	1	0	0	0	2	0	0	3	1
"231"	"ECB_00231"	0	5	4	0	0	0	0	1	11	1	1	0	0	1	0	0	1	0	1	0	1	1	0	0	0	15	9
"232"	"ECB_00232"	4159	2133	1462	584	30	8	5	191	291	733	741	144	464	115	15	10	51	153	815	1196	935	753	755	49	13	340	200
"233"	"ECB_00233"	125	357	23	11	0	0	1	10	28	10	21	7	10	1	0	0	4	6	5	34	19	10	11	0	0	18	20
"234"	"ECB_00234"	440	387	203	149	15	0	1	66	92	80	89	22	80	58	2	1	19	38	203	371	181	243	253	8	2	166	181
"235"	"ECB_00235"	745	2093	1716	571	113	34	15	490	921	567	484	101	224	326	109	33	298	493	447	736	654	328	568	197	45	1606	725
"236"	"ECB_00236"	4	8	3	8	0	0	0	6	11	1	6	0	5	0	0	0	1	1	4	4	2	5	4	3	0	2	0
"237"	"ECB_00237"	26	41	18	19	1	0	0	8	13	5	11	6	7	1	0	0	1	4	35	42	43	34	28	1	0	14	11
"238"	"ECB_00238"	14	21	5	9	0	0	0	6	3	1	3	3	3	1	0	1	5	1	9	3	4	7	2	1	0	10	13
"239"	"ECB_00239"	558	834	156	129	3	1	1	86	211	93	134	27	91	16	3	3	11	57	150	177	233	140	90	9	3	84	118
"240"	"ECB_00240"	397	342	161	173	8	2	1	102	105	124	129	46	118	13	8	2	30	27	227	286	236	452	218	30	1	144	93
"241"	"ECB_00241"	3	3	4	3	0	0	0	6	4	0	2	0	0	0	0	0	0	4	1	2	2	1	1	1	0	0	1
"242"	"ECB_00242"	23	23	14	5	2	0	0	3	6	8	5	3	11	1	0	0	4	3	4	6	1	7	3	1	0	7	7
"243"	"ECB_00243"	11	8	9	4	1	2	0	7	14	6	6	1	3	6	0	0	5	2	3	11	16	4	9	3	0	23	16
"244"	"ECB_00244"	1	1	0	1	1	0	0	3	6	1	2	1	0	1	0	0	0	1	0	0	1	0	1	2	0	10	3
"245"	"ECB_00245"	2	1	1	0	0	0	0	5	1	1	0	0	1	0	0	0	1	5	0	1	0	0	1	0	0	3	7
"246"	"ECB_00246"	1690	635	308	323	31	6	5	194	292	39	97	52	111	55	3	15	41	24	103	176	201	228	197	19	13	338	90
"247"	"ECB_00247"	40	69	23	17	3	0	1	15	21	2	13	0	12	6	1	1	6	9	14	30	24	18	6	1	0	25	13
"248"	"ECB_00248"	23	21	4	5	1	0	0	12	16	3	4	1	4	2	0	0	0	1	5	2	10	7	7	0	1	17	5
"249"	"ECB_00249"	11	30	15	10	0	0	0	9	13	3	4	1	6	1	1	0	15	13	18	15	12	10	8	2	11	62	168
"250"	"ECB_00250"	13	23	6	0	1	1	2	11	8	2	2	1	4	3	1	1	2	2	4	5	5	6	8	5	1	16	17
"251"	"ECB_00251"	2	1	1	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	1	0	1	1	0	0	5	3
"252"	"ECB_00252"	13	37	13	8	1	0	0	2	3	1	8	2	4	0	0	0	0	3	5	10	8	12	9	0	0	0	0
"253"	"ECB_00253"	8	50	7	13	0	1	0	1	14	0	0	0	5	1	0	0	0	3	6	1	6	5	0	0	0	6	6
"254"	"ECB_00254"	8	20	9	4	0	0	0	3	7	2	1	8	0	0	0	0	0	2	4	5	2	6	3	0	0	5	2
"255"	"ECB_00255"	4	24	12	2	0	0	0	4	3	1	0	0	4	2	0	0	0	1	6	8	5	16	1391	13	1	3	6
"256"	"ECB_00256"	84	198	138	60	13	1	0	20	96	24	38	15	37	13	1	3	27	37	45	69	86	52	86	39	3	99	182
"257"	"ECB_00257"	42	42	15	10	2	1	0	13	28	2	10	0	1	1	1	1	0	7	6	7	7	8	6	3	0	19	25
"258"	"ECB_00258"	0	0	1	0	0	0	0	9	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2
"259"	"ECB_00259"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"260"	"ECB_00260"	5	3	4	2	8	1	0	19	17	0	1	0	1	3	0	0	4	3	6	3	1	3	7	1	1	23	15
"261"	"ECB_00261"	3	4	1	0	1	0	0	3	1	2	1	0	1	0	0	0	1	3	0	0	1	0	4	0	0	2	15
"262"	"ECB_00262"	18	14	20	7	4	0	0	8	29	6	4	1	3	2	0	0	4	29	5	8	7	1	3	0	1	40	81
"263"	"ECB_00263"	26	42	12	11	1	0	0	14	29	11	10	1	1	6	0	2	2	34	10	17	9	12	6	3	0	28	48
"264"	"ECB_00264"	8	24	11	9	1	0	0	4	7	5	4	3	4	1	0	0	5	5	6	8	11	2	8	0	0	10	18
"265"	"ECB_00265"	5	5	3	5	1	1	0	2	12	1	0	0	1	2	1	1	0	1	2	1	5	1	3	0	1	6	4
"266"	"ECB_00266"	5	7	0	3	0	0	0	13	5	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	3	6
"267"	"ECB_00267"	103	449	472	191	20	0	0	18	21	39	159	17	115	37	1	0	0	17	97	240	197	144	149	1	1	22	28
"268"	"ECB_00268"	105	570	543	174	27	0	2	56	49	62	177	48	69	50	5	3	14	23	160	345	262	145	180	5	1	109	59
"269"	"ECB_00269"	24	196	129	70	10	0	1	54	82	24	43	3	37	28	3	7	38	21	63	100	82	52	53	2	3	114	41
"270"	"ECB_00270"	56	623	739	295	27	5	1	100	181	59	198	30	94	43	4	5	26	40	135	347	276	125	99	14	6	194	75
"271"	"ECB_00271"	15	29	16	12	0	1	0	19	12	2	7	1	3	0	0	0	2	5	3	7	12	4	6	4	2	19	23
