	"gene_id"	"sample97_t3"	"sample98_t4"	"sample99_t5"	"sample100_t6"	"sample101_t8"	"sample102_t24"	"sample103_t48"	"sample104_t168"	"sample105_t336"	"sample16_t3"	"sample17_t4"	"sample18_t5"	"sample19_t6"	"sample20_t8"	"sample21_t24"	"sample22_t48"	"sample23_t168"	"sample24_t336"	"sample25_t3"	"sample26_t4"	"sample27_t5"	"sample28_t6"	"sample29_t8"	"sample30_t24"	"sample31_t48"	"sample32_t168"	"sample33_t336"
"1162"	"ECB_01162"	422	767	517	225	11	0	0	60	164	66	145	123	108	34	6	5	25	87	216	317	286	206	165	17	2	136	127
"1163"	"ECB_01163"	196	119	139	61	1066	321	164	5379	1270	74	38	15	20	1022	932	241	1255	741	89	74	60	54	822	3849	264	9537	1336
"1164"	"ECB_01164"	1036	1599	2677	912	137	5	8	352	506	821	793	342	385	263	26	15	117	411	999	1106	856	582	879	72	29	1052	625
"1165"	"ECB_01165"	878	1253	1123	219	42	2	4	116	254	338	312	101	105	126	3	5	59	181	608	885	319	175	365	35	8	367	339
"1166"	"ECB_01166"	332	532	181	128	4	1	1	93	128	44	89	58	73	12	2	7	15	43	148	221	247	162	102	5	7	167	50
"1167"	"ECB_01167"	46	84	52	22	0	0	0	6	27	16	18	0	8	3	0	0	0	4	4	23	19	23	14	1	1	15	12
"1168"	"ECB_01168"	44	118	69	26	1	1	0	29	35	13	27	11	29	7	1	2	24	10	56	97	82	87	40	3	8	135	334
"1169"	"ECB_01169"	2	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	5	1	2	0	2	1	0	0	1	10
"1170"	"ECB_01170"	2	1	0	2	36	10	2	40	13	2	0	0	1	24	16	4	11	17	1	0	2	0	23	138	5	78	41
"1171"	"ECB_01171"	1	6	0	2	2	1	0	24	9	0	0	0	0	1	0	1	5	33	0	0	1	0	4	1	0	48	9
"1172"	"ECB_01172"	46	41	22	13	23	3	0	31	34	17	8	4	6	46	4	5	8	15	5	12	4	11	28	27	6	56	20
"1173"	"ECB_01173"	493	996	282	161	10	0	0	35	54	220	251	77	144	18	3	1	13	15	297	492	266	295	224	11	2	51	39
"1174"	"ECB_01174"	288	318	79	48	2	0	1	12	10	83	84	17	75	12	1	0	0	0	136	90	94	85	48	2	0	9	3
"1175"	"ECB_01175"	1087	918	197	94	24	0	0	22	29	95	165	73	238	20	4	1	11	25	387	282	305	353	133	5	2	63	26
"1176"	"ECB_01176"	42	80	24	15	5	2	2	27	34	14	11	6	7	6	0	1	4	27	24	27	29	16	22	3	1	106	75
"1177"	"ECB_01177"	31	58	17	10	5	0	1	52	54	11	8	4	4	5	1	5	17	20	11	12	10	7	10	4	1	93	82
"1178"	"ECB_01178"	493	820	230	202	5	2	1	20	84	79	132	74	105	11	2	0	12	21	71	221	222	128	72	3	0	29	65
"1179"	"ECB_01179"	91	187	36	44	2	0	0	5	23	19	18	1	8	3	0	0	1	9	10	22	42	13	8	2	0	10	16
"1180"	"ECB_01180"	452	78	409	283	1457	1875	933	6916	2060	140	87	11	154	1062	2114	1012	1958	2070	193	176	149	166	1168	3074	1707	15070	2814
"1181"	"ECB_01181"	102	225	77	42	1	0	0	15	65	12	38	15	21	4	1	2	5	13	26	46	56	35	20	4	1	26	36
"1182"	"ECB_01182"	3265	4658	1875	2031	14	0	1	29	167	481	837	784	1154	55	12	4	5	78	1215	1736	2119	1433	708	19	3	41	64
"1183"	"ECB_01183"	212	337	158	132	6	1	1	12	34	51	89	129	106	13	0	0	3	20	97	133	165	124	78	4	1	22	23
"1184"	"ECB_01184"	192	224	60	48	1	0	0	5	26	18	45	6	32	6	0	2	2	11	40	92	79	76	56	0	0	13	7
"1185"	"ECB_01185"	1751	2793	1481	533	22	3	2	155	402	181	380	142	277	79	19	14	31	182	811	1100	1178	715	675	8	7	305	248
"1186"	"ECB_01186"	527	586	208	116	2	0	2	24	88	83	132	21	88	4	0	0	16	48	160	334	255	189	63	0	1	64	50
"1187"	"ECB_01187"	293	437	117	147	3	0	0	17	42	29	57	30	53	4	0	1	3	25	47	115	108	74	34	2	1	18	35
"1188"	"ECB_01188"	46	113	22	25	1	0	0	6	9	4	12	2	12	0	0	0	1	3	12	24	29	13	5	0	1	5	11
"1189"	"ECB_01189"	203	390	131	111	3	2	1	8	70	21	49	10	40	6	0	0	3	25	55	97	120	72	30	3	1	19	48
"1190"	"ECB_01190"	800	605	345	165	6	1	1	46	99	125	164	30	129	20	2	2	4	36	113	226	287	175	104	7	0	27	54
"1191"	"ECB_01191"	8	7	8	11	1	1	0	3	5	2	8	0	3	5	4	1	0	8	3	5	4	6	4	4	0	6	7
"1192"	"ECB_01192"	4	6	7	6	4	1	0	5	4	2	3	2	3	2	3	0	1	3	2	3	7	5	6	2	1	3	11
"1193"	"ECB_01193"	3	9	5	2	1	0	0	3	9	1	2	1	0	0	0	0	1	6	3	5	3	3	2	1	1	4	8
"1194"	"ECB_01194"	54	145	68	24	1	1	0	10	9	51	47	9	19	2	1	0	0	6	17	79	53	31	28	1	1	8	6
"1195"	"ECB_01195"	5	14	10	4	3	1	2	10	22	3	5	0	1	4	1	0	2	9	2	5	7	1	9	2	0	28	17
"1196"	"ECB_01196"	135	324	154	64	14	4	1	72	204	54	47	14	30	17	5	1	49	78	44	75	55	36	68	14	2	219	129
"1197"	"ECB_01197"	199	196	172	86	87	4	1	142	201	102	53	6	43	150	18	9	27	57	96	119	134	128	232	40	9	214	160
"1198"	"ECB_01198"	42	116	47	42	1	0	2	27	66	6	15	5	21	1	3	2	3	18	16	21	32	24	17	1	0	94	32
"1199"	"ECB_01199"	242	133	84	32	5	1	0	18	26	44	41	21	31	16	4	0	1	8	44	52	38	48	69	10	0	38	27
"1200"	"ECB_01200"	87	127	68	27	1	0	0	41	41	23	33	7	25	9	6	4	20	31	15	25	46	21	33	12	5	72	30
"1201"	"ECB_01201"	3	4	1	2	0	0	0	4	16	3	2	0	1	0	0	2	2	2	2	5	0	0	2	0	0	10	2
"1202"	"ECB_01202"	51	67	14	21	12	2	0	32	26	18	20	5	7	6	3	0	22	19	28	23	13	11	25	8	4	104	55
"1203"	"ECB_01203"	41	34	21	8	3	3	0	23	21	22	7	5	8	19	1	1	4	14	19	24	25	15	17	13	2	54	37
"1204"	"ECB_01204"	8	6	2	2	0	0	0	0	10	1	3	1	1	1	0	0	0	1	2	2	2	2	2	3	0	7	7
"1205"	"ECB_01205"	22	25	15	6	1	0	0	6	4	5	4	7	2	4	1	0	0	0	3	11	10	3	1	11	0	4	13
"1206"	"ECB_01206"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
"1207"	"ECB_01207"	1	12	3	0	0	0	0	8	24	2	1	0	0	0	0	0	13	6	0	0	0	1	2	0	0	10	17
"1208"	"ECB_01208"	360	392	141	96	5	0	3	80	115	60	103	7	61	6	3	2	13	60	71	157	134	112	75	10	1	93	108
"1209"	"ECB_01209"	171	278	170	61	27	1	0	56	103	43	64	3	36	55	8	6	47	113	45	113	84	53	48	15	3	162	151
"1210"	"ECB_01210"	154	329	149	54	5	1	0	24	65	31	47	8	25	14	2	5	11	27	47	93	82	47	58	4	4	61	42
"1211"	"ECB_01211"	145	231	106	51	17	10	5	109	78	14	21	12	23	13	17	15	37	54	24	60	50	33	39	32	2	347	110
"1212"	"ECB_01212"	993	973	586	309	27	7	2	120	113	203	202	31	155	51	14	5	31	87	268	409	396	418	360	142	7	283	134
"1213"	"ECB_01213"	7828	5469	2989	1893	621	136	99	3617	1501	1392	1506	644	1265	908	298	178	1337	951	2270	3523	2652	2906	2237	1822	207	9074	3095
"1214"	"ECB_01214"	12	19	4	7	0	0	0	5	6	0	2	0	5	0	0	0	0	4	4	2	3	3	0	1	0	12	5
"1215"	"ECB_01215"	29240	5603	3091	1855	337	83	45	1206	1316	2823	2150	483	2578	842	267	66	294	556	4908	3627	3998	4641	5544	932	95	2277	1520
"1216"	"ECB_01216"	24	33	14	4	0	0	0	0	23	1	6	1	8	0	0	0	0	2	7	9	8	3	4	0	0	8	7
"1217"	"ECB_01217"	4119	2023	1514	637	18	2	1	102	238	1098	594	302	360	50	2	1	19	68	589	853	679	532	406	6	3	177	181
"1218"	"ECB_01218"	215	185	58	68	0	0	2	8	10	44	43	3	26	0	0	0	2	3	37	61	78	40	22	0	0	4	15
"1219"	"ECB_01219"	265	174	95	91	2	0	2	16	30	78	51	38	45	2	0	0	6	6	59	87	77	50	44	1	1	13	18
"1220"	"ECB_01220"	597	358	241	239	1	1	0	12	31	184	95	92	110	8	0	0	6	10	120	126	160	111	59	0	0	20	18
"1221"	"ECB_01221"	1025	495	511	289	9	0	1	29	75	351	214	252	191	21	7	4	17	25	368	419	453	303	179	25	8	101	47
"1222"	"ECB_01222"	250	363	143	98	10	4	3	19	85	50	67	30	56	16	6	3	3	44	64	101	109	68	71	13	1	36	102
"1223"	"ECB_01223"	409	426	204	121	12	0	2	37	126	74	68	20	57	40	2	1	13	27	69	125	95	66	87	1	5	62	60
"1224"	"ECB_01224"	715	420	1248	143	15	1	1	46	198	477	752	0	460	58	5	6	10	180	13434	26269	9994	19962	11430	105	22	508	829
"1225"	"ECB_01225"	383	292	161	61	15	1	0	17	59	114	72	6	72	26	0	0	3	14	58	77	82	95	133	3	1	31	48
"1226"	"ECB_01226"	128	59	16	9	4	0	0	12	49	7	13	2	25	12	0	0	6	17	24	40	40	60	52	10	0	24	39
"1227"	"ECB_01227"	55	110	26	34	0	0	0	6	10	2	12	4	11	1	0	1	0	7	12	36	23	13	9	1	0	6	5
"1228"	"ECB_01228"	32	53	22	13	1	1	0	25	17	4	11	1	7	4	3	0	3	9	14	13	19	5	3	2	1	19	19
"1229"	"ECB_01229"	23	32	14	14	3	2	0	23	40	5	6	3	4	6	0	1	10	14	7	15	9	9	4	2	3	34	34
"1230"	"ECB_01230"	13	8	9	2	13	0	0	4	9	29	14	1	6	23	2	0	0	3	9	16	9	2	22	5	1	27	9
"1231"	"ECB_01231"	4	6	1	0	0	0	0	15	30	0	0	0	1	0	0	0	7	9	1	4	1	0	3	0	0	20	31
"1232"	"ECB_01232"	1	1	4	0	0	0	0	3	7	0	0	0	1	0	0	0	0	2	2	2	1	0	1	0	0	3	5
"1233"	"ECB_01233"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"1234"	"ECB_01234"	450	615	403	322	26	0	1	2	23	138	164	102	166	32	1	0	3	8	171	199	217	187	167	2	0	7	11
"1235"	"ECB_01235"	823	1343	1175	564	73	0	0	8	100	220	440	355	381	53	2	0	2	18	495	668	794	605	509	1	0	21	31
"1236"	"ECB_01236"	509	1507	1236	583	65	0	0	12	131	205	375	155	367	69	4	0	6	16	350	471	442	442	365	0	0	29	31
"1237"	"ECB_01237"	379	745	872	444	63	0	1	14	325	107	214	114	213	113	0	0	2	16	288	321	360	322	251	1	1	14	32
"1238"	"ECB_01238"	532	774	1218	583	23	0	1	19	631	369	277	274	270	104	0	1	12	18	264	460	587	382	277	1	0	10	40
"1239"	"ECB_01239"	13	37	52	27	8	0	0	8	914	48	24	4	12	23	0	0	10	138	68	69	64	64	56	2	0	13	395
"1240"	"ECB_01240"	102	218	90	65	4	0	0	16	20	17	46	4	35	7	1	0	0	15	46	83	64	54	33	3	1	14	21
"1241"	"ECB_01241"	300	604	357	156	14	1	2	35	53	85	103	37	88	29	5	2	4	23	132	233	203	114	106	20	8	76	50
"1242"	"ECB_01242"	99	221	120	58	3	1	0	19	50	22	26	3	37	6	2	1	20	16	44	79	82	51	26	8	0	34	19
"1243"	"ECB_01243"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1244"	"ECB_01244"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1245"	"ECB_01245"	576	2236	974	381	5	0	0	9	34	100	277	131	210	4	5	2	2	17	220	529	545	240	105	3	0	23	14
"1246"	"ECB_01246"	1225	1299	647	636	13	0	1	18	36	142	157	39	166	34	3	0	0	17	253	337	387	393	398	16	1	35	27
"1247"	"ECB_01247"	200	252	249	141	4	0	0	10	28	81	43	39	67	18	0	0	3	7	55	100	103	88	82	2	1	6	11
"1248"	"ECB_01248"	382	742	475	209	21	2	1	20	67	121	97	31	77	18	2	1	6	32	108	176	140	135	181	15	0	81	58
"1249"	"ECB_01249"	135	184	176	62	12	2	2	37	73	65	53	4	46	21	9	1	8	44	51	102	120	53	75	19	0	68	64
"1250"	"ECB_01250"	1392	2460	1235	574	11	2	3	14	163	518	634	239	407	37	9	1	21	50	554	1128	811	727	493	29	3	63	97
"1251"	"ECB_01251"	753	441	370	132	2	0	1	313	514	58	117	80	82	6	3	8	25	125	126	238	207	157	108	0	10	647	286
"1252"	"ECB_01252"	13	175	18	14	9	1	1	34	41	4	8	2	6	6	0	1	2	16	13	17	8	5	6	2	1	38	32
"1253"	"ECB_01253"	872	1494	1362	431	243	6	6	76	255	323	313	62	199	171	19	4	21	75	335	652	456	298	390	98	9	183	143
"1254"	"ECB_01254"	471	524	357	157	27	5	2	75	154	97	108	8	92	23	5	0	22	78	100	198	147	95	104	21	5	112	133
"1255"	"ECB_01255"	204	255	192	60	13	0	1	30	83	39	54	16	53	22	2	3	14	28	79	81	72	45	62	4	2	66	30
"1256"	"ECB_01256"	267	386	343	106	9	0	0	30	115	115	119	22	76	29	3	1	13	45	181	251	214	139	121	3	3	23	64
"1257"	"ECB_01257"	122	256	92	68	2	0	1	24	45	30	34	6	16	6	0	3	4	18	28	52	65	23	18	0	1	32	41
"1258"	"ECB_01258"	74	150	39	49	1	0	0	3	7	10	22	3	15	2	0	0	0	13	17	35	39	21	17	1	0	1	3
"1259"	"ECB_01259"	35	76	18	18	0	0	0	4	4	9	13	8	17	0	0	0	0	1	11	21	40	17	16	1	0	1	0
"1260"	"ECB_01260"	10	18	6	2	7	18	21	733	184	4	3	0	1	5	22	31	72	73	2	6	3	1	8	41	42	847	284
"1261"	"ECB_01261"	247	570	163	84	4	0	0	63	104	44	110	18	62	15	2	2	32	45	102	169	156	91	54	14	8	86	107
"1262"	"ECB_01262"	163	418	152	133	12	6	2	89	51	20	25	16	55	23	2	6	27	27	52	110	136	97	77	17	7	110	53
"1263"	"ECB_01263"	1263	1635	455	602	1	0	0	12	86	177	362	105	357	10	0	0	5	31	346	645	745	529	301	1	1	28	49
"1264"	"ECB_01264"	1629	119	486	194	0	1	0	6	50	131	184	22	139	0	1	0	0	7	126	219	267	265	185	0	0	10	23
"1265"	"ECB_01265"	3752	2418	1812	1054	42	5	1	67	240	621	781	169	786	39	9	2	11	50	951	1941	1725	1296	932	34	5	124	196
"1266"	"ECB_01266"	148	182	228	67	18	3	0	22	17	26	32	20	32	13	3	0	6	26	58	101	62	51	60	12	2	24	19
"1267"	"ECB_01267"	45	69	23	36	2	0	0	4	2	7	19	9	19	4	0	0	6	0	20	27	36	25	21	3	0	10	10
"1268"	"ECB_01268"	40	46	25	21	2	0	0	4	3	10	17	4	17	4	3	0	0	2	29	23	38	28	20	6	0	5	4
"1269"	"ECB_01269"	57	58	23	39	6	7	0	20	19	13	16	28	24	5	4	1	10	4	49	35	62	43	30	19	2	30	17
"1270"	"ECB_01270"	88	70	19	52	3	6	1	43	20	12	18	5	20	7	17	3	7	7	27	20	40	36	24	23	0	62	15
"1271"	"ECB_01271"	113	147	46	31	3	3	2	123	49	13	29	8	20	8	11	5	19	21	31	51	43	33	36	19	8	185	50
"1272"	"ECB_01272"	15	35	12	3	0	0	0	6	12	3	7	1	0	0	0	0	0	2	8	10	14	11	6	2	0	4	7
"1273"	"ECB_01273"	610	753	743	149	2	0	1	4	20	67	140	10	55	4	0	0	0	10	122	277	139	78	46	3	0	15	15
"1274"	"ECB_01274"	1640	3244	4463	1326	33	0	0	69	362	264	915	47	369	42	4	6	13	46	3265	6892	2681	2537	1285	10	7	154	167
"1275"	"ECB_01275"	238	1235	1156	434	9	0	0	12	56	60	207	27	142	10	1	2	5	14	174	463	340	125	99	1	1	15	28
"1276"	"ECB_01276"	386	1523	1291	468	7	4	1	39	59	53	296	33	132	7	4	2	12	7	181	557	356	173	95	12	0	62	44
"1277"	"ECB_01277"	1292	1110	1301	145	0	0	0	3	16	162	215	25	67	2	0	1	0	9	80	306	144	81	50	0	0	19	13
"1278"	"ECB_01278"	1053	389	479	135	3	0	0	2	10	123	118	68	40	1	1	0	0	5	65	180	103	52	55	2	0	14	7
"1279"	"ECB_01279"	343	138	146	41	1	0	0	2	4	37	47	5	24	1	0	0	0	5	16	43	30	37	18	0	0	8	3
"1280"	"ECB_01280"	60	45	43	31	4	0	0	6	21	8	21	1	11	7	0	0	4	9	30	26	26	9	17	1	0	18	14
"1281"	"ECB_01281"	1202	496	340	103	40	48	53	4552	5612	283	1018	63	419	55	104	270	3294	2027	447	4528	513	1210	306	266	275	26665	4934
"1282"	"ECB_01282"	102	88	63	24	3	6	4	267	462	16	32	5	12	6	14	11	76	145	13	48	15	10	17	18	10	909	279
"1283"	"ECB_01283"	67	49	41	10	3	2	5	187	294	9	25	1	3	10	3	7	164	91	5	16	8	6	14	3	6	847	277
"1284"	"ECB_01284"	25	42	20	12	1	1	3	120	155	6	9	2	3	7	1	5	99	69	6	10	3	10	7	11	4	439	143
"1285"	"ECB_01285"	58	111	51	29	16	1	3	179	195	38	25	5	17	74	6	2	130	136	60	77	49	62	85	27	2	663	313
"1286"	"ECB_01286"	2	4	1	0	0	0	0	1	5	0	0	0	0	1	0	0	0	2	1	0	0	0	1	0	0	2	2
"1287"	"ECB_01287"	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1	0
"1288"	"ECB_01288"	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
"1289"	"ECB_01289"	0	2	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	18
"1290"	"ECB_01290"	4	1	2	2	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1	0	0	4	6
"1291"	"ECB_01291"	3	4	2	0	0	0	0	0	0	1	3	1	1	1	0	0	1	0	1	1	3	1	4	1	0	5	6
"1292"	"ECB_01292"	5	8	2	4	0	0	0	3	1	1	1	2	2	0	0	0	0	0	3	6	4	4	2	1	0	7	5
"1293"	"ECB_01293"	4	6	2	8	0	0	0	0	3	2	2	1	1	1	0	0	0	0	3	0	2	1	5	1	0	1	1
"1294"	"ECB_01294"	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1295"	"ECB_01295"	1	3	5	2	0	0	0	0	1	2	0	0	1	1	0	0	0	0	1	1	1	2	4	0	0	0	4
"1296"	"ECB_01296"	5	8	1	5	0	0	0	5	10	3	4	1	4	1	1	0	0	8	0	5	6	4	3	3	1	12	14
"1297"	"ECB_01297"	6	24	1	1	0	0	0	2	7	1	1	1	3	2	0	0	0	1	1	3	4	5	1	0	0	14	54
"1298"	"ECB_01298"	54	96	47	29	2	0	0	25	31	27	23	11	9	5	1	0	1	14	15	28	25	22	19	2	0	12	26
"1299"	"ECB_01299"	59	83	54	31	2	0	0	7	24	20	22	5	10	3	1	0	5	5	27	24	27	28	36	0	1	11	10
"1300"	"ECB_01300"	457	538	282	155	38	13	4	159	158	106	117	27	94	72	18	14	60	81	204	384	230	240	321	84	11	417	198
"1301"	"ECB_01301"	6016	4486	4168	1190	342	8	7	315	548	1119	1463	156	1035	604	27	11	84	197	1542	2583	2006	1359	1353	101	14	778	590
"1302"	"ECB_01302"	355	719	613	175	45	8	0	82	188	98	146	58	101	62	5	1	43	77	175	250	210	144	167	18	5	255	134
"1303"	"ECB_01303"	193	124	118	31	14	6	1	123	118	32	42	13	27	26	16	13	32	75	56	63	65	44	56	31	8	257	105
"1304"	"ECB_01304"	1	2	1	0	0	0	0	4	4	0	1	0	1	1	0	1	3	3	0	6	1	6	2	1	0	34	28
"1305"	"ECB_01305"	9	31	26	20	4	0	0	11	20	2	7	1	9	3	0	0	5	4	6	14	9	9	6	0	1	16	16
"1306"	"ECB_01306"	23	48	17	11	3	1	0	17	17	4	3	0	2	4	0	1	0	15	6	9	12	6	11	2	0	25	18
"1307"	"ECB_01307"	136	209	217	90	10	1	1	80	82	71	49	9	27	38	4	8	4	43	56	66	70	53	59	7	3	130	55
"1308"	"ECB_01308"	20	35	6	6	1	0	0	24	38	1	7	0	5	5	0	0	2	12	1	3	2	7	4	1	0	20	27
"1309"	"ECB_01309"	204	323	201	83	24	2	5	119	140	41	42	18	22	31	1	5	12	77	44	77	92	54	52	8	8	204	106
"1310"	"ECB_01310"	1305	1108	1213	493	760	143	48	1797	1105	655	373	89	294	863	409	94	351	634	496	455	479	326	970	1490	111	3405	1210
"1311"	"ECB_01311"	952	1450	949	515	87	22	15	652	1004	269	361	42	257	97	36	44	214	435	364	509	601	308	284	65	35	889	746
"1312"	"ECB_01312"	56	82	43	23	0	0	0	1	19	9	13	4	16	2	0	0	1	2	23	39	24	36	5	0	1	6	15
"1313"	"ECB_01313"	28	18	11	4	0	1	0	7	2	10	9	0	2	0	0	0	0	1	5	7	5	4	2	1	0	5	5
"1314"	"ECB_01314"	30	16	8	3	0	0	1	3	1	5	1	1	1	0	0	0	0	1	6	2	1	3	4	0	1	4	6
"1315"	"ECB_01315"	44	12	8	10	2	0	0	6	7	14	4	2	3	1	0	0	2	0	1	7	1	5	7	0	0	5	9
"1316"	"ECB_01316"	66	36	44	21	3	0	0	16	32	25	18	1	6	2	0	0	0	10	24	22	25	11	16	1	0	20	28
"1317"	"ECB_01317"	20	41	11	0	0	0	0	41	25	3	4	0	2	0	0	1	2	15	5	4	3	3	4	3	0	63	27
"1318"	"ECB_01318"	82	73	39	19	9	0	0	58	46	17	12	2	11	45	3	3	16	25	18	38	42	36	58	10	3	95	60
"1319"	"ECB_01319"	83	110	69	28	13	5	0	77	62	23	22	15	21	21	5	3	40	13	63	43	40	53	104	26	12	204	69
"1320"	"ECB_01320"	105	372	56	47	0	1	0	4	20	9	19	7	34	3	1	0	0	9	26	60	58	35	16	1	0	11	5
"1321"	"ECB_01321"	104	288	96	96	2	5	4	63	134	13	53	11	42	9	4	6	13	52	89	261	137	142	87	3	2	67	85
"1322"	"ECB_01322"	20	84	20	19	0	1	1	20	7	1	6	4	4	0	0	0	6	12	3	18	30	11	5	2	1	13	12
"1323"	"ECB_01323"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1324"	"ECB_01324"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1325"	"ECB_01325"	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3
"1326"	"ECB_01326"	8	5	4	3	0	0	0	2	7	1	2	2	0	1	0	0	0	6	2	1	2	3	1	0	0	2	6
"1327"	"ECB_01327"	19	39	15	9	0	0	0	8	12	4	6	1	5	1	0	1	10	4	12	16	13	15	16	0	0	11	18
"1328"	"ECB_01328"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
"1329"	"ECB_01329"	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1330"	"ECB_01330"	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"1331"	"ECB_01331"	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	1	2	1	2	1	0	0	0	10	21
"1332"	"ECB_01332"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1333"	"ECB_01333"	1	0	0	1	0	0	0	7	4	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0
"1334"	"ECB_01334"	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0
"1335"	"ECB_01335"	2	1	2	1	0	0	0	2	4	0	0	0	0	4	0	0	0	2	0	0	0	0	2	1	0	4	3
"1336"	"ECB_01336"	35	63	47	35	3	0	0	7	5	10	17	0	18	6	0	1	0	1	15	21	18	18	16	0	0	6	2
"1337"	"ECB_01337"	1	0	1	0	0	0	0	6	11	0	0	0	0	0	0	1	27	10	6	4	5	3	11	4	7	92	111
"1338"	"ECB_01338"	0	1	0	0	1	0	0	7	4	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	2	9
"1339"	"ECB_01339"	11	48	16	11	1	0	4	99	128	1	10	1	4	2	1	6	5	58	5	10	18	10	17	3	6	70	97
"1340"	"ECB_01340"	2	3	0	0	0	0	0	3	9	0	0	0	0	0	0	0	0	7	0	3	1	1	0	0	0	7	3
"1341"	"ECB_01341"	0	2	1	0	0	0	0	8	6	0	0	1	1	0	0	0	2	0	0	2	2	0	0	0	0	6	0
"1342"	"ECB_01342"	4	13	4	5	0	0	1	27	20	2	1	0	3	1	0	0	4	9	2	5	4	3	3	1	4	29	21
"1343"	"ECB_01343"	0	1	2	3	0	0	0	12	8	0	0	0	1	0	0	1	4	5	1	0	1	0	0	0	0	7	5
"1344"	"ECB_01344"	1	7	3	2	0	0	0	4	12	1	1	0	0	0	0	0	0	0	1	1	5	1	2	0	0	3	5
"1345"	"ECB_01345"	6	77	5	7	0	0	1	30	75	0	5	0	1	1	0	0	10	14	3	7	7	4	4	1	0	88	42
"1346"	"ECB_01346"	8	39	6	5	0	1	0	26	58	0	0	0	1	0	0	0	6	11	2	4	4	2	1	0	0	37	16
"1347"	"ECB_01347"	41	16	59	30	226	25	20	541	416	53	25	2	6	584	53	17	92	242	15	28	17	13	522	184	41	1289	754
"1348"	"ECB_01348"	5	2	2	4	0	0	0	11	9	2	0	2	0	1	0	1	0	1	1	3	0	0	0	0	0	8	12
"1349"	"ECB_01349"	1883	1449	808	377	94	43	15	308	374	672	554	104	244	59	104	20	37	177	501	656	541	345	244	219	32	315	301
"1350"	"ECB_01350"	148	251	177	89	18	0	0	17	38	68	60	33	48	24	0	0	1	19	94	94	94	95	155	8	0	20	19
"1351"	"ECB_01351"	38	16	10	5	3	0	0	53	28	12	6	2	5	5	6	1	16	14	15	8	8	11	12	5	0	52	20
"1352"	"ECB_01352"	669	250	154	153	66	17	8	320	284	140	82	9	78	66	30	20	54	49	78	90	95	127	329	104	54	493	140
"1353"	"ECB_01353"	206	339	100	97	2	2	1	51	67	36	54	56	44	4	1	2	21	24	75	82	103	76	71	5	0	70	33
"1354"	"ECB_01354"	18	47	19	21	0	0	0	4	5	2	6	0	12	0	0	0	2	1	12	14	17	18	4	1	0	0	6
"1355"	"ECB_01355"	18	36	11	20	0	0	0	3	5	2	4	0	1	0	0	0	0	2	8	6	6	8	3	0	0	3	3
"1356"	"ECB_01356"	26	47	146	67	13	1	0	18	47	41	33	3	22	35	2	3	1	31	48	54	63	23	53	7	2	52	27
"1357"	"ECB_01357"	21	66	40	17	6	3	2	42	49	9	5	8	10	6	1	0	13	33	23	18	18	10	10	2	3	109	71
"1358"	"ECB_01358"	4	13	4	1	1	1	0	7	12	1	2	0	0	0	0	0	3	7	2	9	3	2	3	2	1	14	7
"1359"	"ECB_01359"	6	10	6	1	0	0	0	6	16	2	3	1	3	3	2	0	2	3	2	2	1	5	4	0	1	15	10
"1360"	"ECB_01360"	8	9	1	2	0	0	0	8	10	2	4	1	0	3	0	1	3	4	3	7	1	3	1	1	0	3	4
